,bench_name,Benchmark,Target,Ranks,Scaling,Bandwidth (TB/s),Bandwidth (GB/s),model,runtime,device,vsize,Number of GPU Tiles,Number of CPU Cores,Number of CPU Sockets,rtime
39,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,1,weak,0.19158390420658908,191.58390420658907,MHP,SYCL,GPU,2000000000,1,56,1.0,4175.716134990874
63,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,1,strong,0.1921144488165458,192.1144488165458,MHP,SYCL,GPU,2000000000,1,56,1.0,4164.18444801066
78,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,2,weak,0.3111291560673582,311.1291560673582,MHP,SYCL,GPU,4000000000,2,112,2.0,5142.5588659829955
145,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,2,strong,0.30993590089434436,309.93590089434434,MHP,SYCL,GPU,2000000000,2,112,2.0,2581.178875023956
32,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,3,strong,0.46093540440769765,460.9354044076976,MHP,SYCL,GPU,2000000000,3,168,3.0,1735.6011110233562
150,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,3,weak,0.46626283519266604,466.262835192666,MHP,SYCL,GPU,6000000000,3,168,3.0,5147.31138502233
15,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,4,weak,0.6199768547649669,619.9768547649669,MHP,SYCL,GPU,8000000000,4,224,4.0,5161.483006027894
126,Inclusive_Scan_DR,Inclusive_Scan,MHP_SYCL_GPU,4,strong,0.6071524506151452,607.1524506151453,MHP,SYCL,GPU,2000000000,4,224,4.0,1317.6262389939602
59,Inclusive_Scan_Reference,Inclusive_Scan,Reference_GPU,1,strong,0.19183646930951317,191.83646930951318,SHP,SYCL,GPU,2000000000,1,56,1.0,4170.218534981805
11,Inclusive_Scan_DR,Inclusive_Scan,SHP_SYCL_GPU,1,strong,0.19216641123910508,192.16641123910506,SHP,SYCL,GPU,2000000000,1,56,1.0,4163.058438993231
